epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,4806.92,0.71836,0.41426,0.87924,0.92653,0.77133,0.85631,0.62299,1.01708,0.65149,0.954,0.000183926,6.13088e-05,0.000183926,6.13088e-05,0.000183926,6.13088e-05,0.000183926,6.13088e-05
90,4861.03,0.71617,0.41584,0.87751,0.93097,0.77109,0.85935,0.62742,1.01649,0.65163,0.95338,0.000169789,5.65964e-05,0.000169789,5.65964e-05,0.000169789,5.65964e-05,0.000169789,5.65964e-05
91,4915.71,0.73446,0.41307,0.86275,0.88748,0.77977,0.84661,0.60219,1.03968,0.66288,0.96474,0.000155652,5.1884e-05,0.000155652,5.1884e-05,0.000155652,5.1884e-05,0.000155652,5.1884e-05
92,4969.34,0.72236,0.39965,0.85684,0.91768,0.76578,0.85234,0.61161,1.04305,0.65579,0.96367,0.000141515,4.71716e-05,0.000141515,4.71716e-05,0.000141515,4.71716e-05,0.000141515,4.71716e-05
93,5022.5,0.715,0.39622,0.85595,0.91555,0.77579,0.85622,0.61667,1.02968,0.64807,0.95856,0.000127378,4.24592e-05,0.000127378,4.24592e-05,0.000127378,4.24592e-05,0.000127378,4.24592e-05
94,5075.62,0.7013,0.3892,0.85062,0.93372,0.76639,0.85684,0.61727,1.0312,0.6524,0.95862,0.00011324,3.77468e-05,0.00011324,3.77468e-05,0.00011324,3.77468e-05,0.00011324,3.77468e-05
95,5127.73,0.69885,0.39145,0.85159,0.92022,0.76319,0.85846,0.61759,1.02028,0.64453,0.95566,9.91032e-05,3.30344e-05,9.91032e-05,3.30344e-05,9.91032e-05,3.30344e-05,9.91032e-05,3.30344e-05
96,5180.36,0.70789,0.39401,0.85369,0.92446,0.76797,0.85892,0.61555,1.028,0.6446,0.95793,8.4966e-05,2.8322e-05,8.4966e-05,2.8322e-05,8.4966e-05,2.8322e-05,8.4966e-05,2.8322e-05
97,5233.17,0.70161,0.39016,0.85148,0.9147,0.77381,0.86044,0.62194,1.02202,0.64072,0.95536,7.08288e-05,2.36096e-05,7.08288e-05,2.36096e-05,7.08288e-05,2.36096e-05,7.08288e-05,2.36096e-05
98,5285.94,0.69139,0.38558,0.84629,0.92287,0.76989,0.85985,0.61747,1.02811,0.64014,0.95835,5.66916e-05,1.88972e-05,5.66916e-05,1.88972e-05,5.66916e-05,1.88972e-05,5.66916e-05,1.88972e-05
99,5339.18,0.69575,0.38508,0.8489,0.92097,0.76605,0.85929,0.6176,1.02987,0.6445,0.95851,4.25544e-05,1.41848e-05,4.25544e-05,1.41848e-05,4.25544e-05,1.41848e-05,4.25544e-05,1.41848e-05
100,5392.1,0.68738,0.37632,0.84653,0.90908,0.76305,0.85886,0.61746,1.02857,0.64174,0.95819,2.84172e-05,9.4724e-06,2.84172e-05,9.4724e-06,2.84172e-05,9.4724e-06,2.84172e-05,9.4724e-06
